episode,score
1,0.0
2,0.04671999895572662
3,0.06287999859452248
4,0.0
5,0.17495999608933926
6,0.18551999585330486
7,0.05981999866291881
8,0.022099999506026508
9,0.07121999840810896
10,0.02969999933615327
11,0.0
12,0.0
13,0.1066199976168573
14,0.0
15,0.0
16,0.1742399961054325
17,0.15371999656409024
18,0.0
19,0.04883999890834093
20,0.5354599880315364
21,0.0
22,0.0
23,0.09429999789223074
24,0.09789999781176448
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
