episode,score
1,0.034374999231658876
2,0.2118749952642247
3,0.0
4,0.016914062121941242
5,0.057187498721759766
6,0.17230468364869012
7,0.05628906124184141
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.10218749771593139
17,0.06226562360825483
18,0.09749999782070518
19,0.17894530850026058
20,0.0
21,0.0
22,0.0
23,0.06421874856459908
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.056328123740968294
30,0.0
31,0.21507812019262929
32,0.0
33,0.0
34,0.0
35,0.235234369742102
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.03476562422292773
44,0.0
45,0.034531249228166416
46,0.0
47,0.0
48,0.05835937369556632
49,0.07394531084719347
50,0.0
51,0.0
52,0.0
53,0.0
54,0.06320312358730007
55,0.0
56,0.0
57,0.0
58,0.0
59,0.08664062306343112
60,0.0
61,0.0
62,0.0
63,0.0
64,0.025937499420251697
65,0.0
66,0.0
67,0.07921874822932296
68,0.0
69,0.0
70,0.0
71,0.0
72,0.09394531040015863
73,0.07054687342315447
74,0.0
75,0.0
76,0.0
77,0.0
78,0.1694531212124275
79,0.0
80,0.0
81,0.1896484332610271
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.07546874831314199
93,0.1501171841446194
94,0.0
95,0.08519531059573637
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.21062499529216439
102,0.052343748830026016
103,0.0
104,0.23394530727091478
105,0.11023437253606971
106,0.19187499571125954
107,0.0
108,0.0
109,0.015937499643769115
110,0.3087499930988997
111,0.1343749969964847
112,0.0
113,0.0
114,0.0
115,0.1338281220087083
116,0.0
117,0.0
118,0.09921874778228812
119,0.0
120,0.11449218494090019
121,0.0
122,0.0
123,0.0
124,0.13234374704188667
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.04808593642519554
134,0.0
135,0.11863280984835001
136,0.0
137,0.0
138,0.007499999832361937
139,0.0
140,0.17804687102034222
141,0.09210937294119503
142,0.0
143,0.0
144,0.17953124598716386
145,0.0006640624851570465
146,0.1993359330444946
147,0.0
148,0.0542187487881165
149,0.0
150,0.06335937358380761
151,0.21574218267778633
152,0.0
153,0.0
154,0.15527343402936822
155,0.1492968716629548
156,0.02742187438707333
157,0.45226561489107553
158,0.13980468437512172
159,0.11269530998106347
160,0.0
161,0.25835936922521796
162,0.016484374631545506
163,0.08476562310534064
164,0.27773436879215296
165,0.2114062452747021
166,0.23765624468796887
167,0.45558592731686076
168,0.0
169,0.07234374838299118
170,0.22726561992021743
171,0.17777343352645403
172,0.08953124799882062
173,0.0
174,0.0
175,0.10800781008583726
176,0.0
177,0.0
178,0.015703124649007805
179,0.0
180,0.012773437214491423
181,0.0
182,0.06437499856110662
183,0.11035156003345037
184,0.00906249979743734
185,0.0
186,0.20687499537598342
187,0.0
188,0.26839843150082743
189,0.2669531190331327
190,0.12429687222174834
191,0.0
192,0.3006249932805076
193,0.0
194,0.12187499727588147
195,0.0
196,0.06351562358031515
197,0.0783203107494046
198,0.01605468714114977
199,0.15484374653897248
200,0.00039062499126885086
201,0.05406249879160896
202,0.5416015503942617
203,0.0
204,0.04433593650901457
205,0.15542968402587576
206,0.0
207,0.10992187254305463
208,0.0
209,0.0
210,0.09710937282943632
211,0.009804687280848157
212,0.0
